                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3916,                 2.0619,                 1.6116,                0.63076,                 0.4861,                0.51283,                0.20449,                 1.8087,                 2.9173,                 2.3484,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.4286,                 1.7513,                 1.6205,                0.40233,                0.52846,                0.36452,                0.15428,                 1.9947,                 3.5325,                 2.5907,              0.0013098,              0.0013098,              0.0013098
                      3,                 1.5138,                 1.6653,                 1.6789,                0.45619,                0.41734,                0.35449,                0.12211,                 2.1347,                 2.9678,                 2.7292,              0.0019502,              0.0019502,              0.0019502
                      4,                 1.5345,                 1.5815,                 1.6892,                0.28609,                0.48654,                0.24556,                0.08881,                 2.2352,                 3.0608,                 2.5787,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4908,                 1.4385,                 1.6441,                0.54409,                0.56911,                0.48429,                0.20755,                 1.8861,                 2.0215,                 2.1526,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4544,                 1.3385,                 1.6113,                0.67489,                0.60757,                0.62913,                0.28205,                 1.8788,                 1.5318,                 2.0462,               0.001901,               0.001901,               0.001901
                      7,                 1.4431,                 1.2754,                 1.5864,                0.70986,                0.66303,                 0.7252,                0.36787,                 1.6397,                 1.5288,                   1.93,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4192,                 1.2267,                 1.5651,                0.72875,                0.69168,                0.75325,                0.36647,                 1.6965,                 1.3858,                 1.8422,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3928,                 1.1816,                 1.5485,                0.88313,                0.73719,                0.80506,                0.44174,                 1.5692,                 1.1596,                 1.7423,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3947,                 1.1798,                 1.5496,                0.74537,                0.71003,                0.76433,                0.40336,                 1.6478,                 1.2832,                 1.7929,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3593,                 1.1115,                 1.5125,                0.82499,                0.79205,                0.77923,                0.38415,                 1.6446,                 1.2466,                 1.8436,               0.001802,               0.001802,               0.001802
                     12,                 1.3729,                 1.1232,                  1.533,                0.81945,                0.66938,                0.72237,                0.41352,                 1.6103,                 1.4788,                 1.8895,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3074,                 1.0743,                 1.4879,                 0.8134,                0.68022,                0.74214,                0.42194,                 1.5853,                 1.3683,                 1.8148,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3567,                 1.0795,                  1.513,                0.85437,                0.68293,                0.78927,                0.43306,                 1.5783,                 1.1975,                 1.7473,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3125,                 1.0263,                 1.4731,                0.83802,                0.72358,                 0.7975,                   0.39,                 1.6832,                 1.1318,                 1.7963,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3043,                 1.0328,                 1.4854,                0.74593,                0.70732,                 0.7464,                0.34023,                 1.5824,                 1.2116,                  1.688,               0.001703,               0.001703,               0.001703
                     17,                 1.2604,                0.99129,                 1.4496,                0.88328,                0.65854,                0.76171,                0.42064,                 1.5957,                 1.3452,                 1.8717,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2561,                0.95662,                 1.4359,                0.79649,                0.80217,                0.84621,                0.47681,                  1.487,                 1.0531,                 1.6514,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2741,                 0.9313,                  1.445,                0.85227,                0.79133,                0.85371,                0.45131,                 1.5476,                0.98484,                  1.751,              0.0016436,              0.0016436,              0.0016436
